STATE,CITY,POP
Alabama,Alabama,5074296
Alabama,Autauga County,59759
Alabama,Baldwin County,246435
Alabama,Barbour County,24706
Alabama,Bibb County,22005
Alabama,Blount County,59512
Alabama,Bullock County,10202
Alabama,Butler County,18650
Alabama,Calhoun County,115788
Alabama,Chambers County,34088
Alabama,Cherokee County,25302
Alabama,Chilton County,45884
Alabama,Choctaw County,12439
Alabama,Clarke County,22515
Alabama,Clay County,14198
Alabama,Cleburne County,15346
Alabama,Coffee County,54805
Alabama,Colbert County,58033
Alabama,Conecuh County,11206
Alabama,Coosa County,10166
Alabama,Covington County,37602
Alabama,Crenshaw County,13025
Alabama,Cullman County,90665
Alabama,Dale County,49544
Alabama,Dallas County,36767
Alabama,DeKalb County,71998
Alabama,Elmore County,89563
Alabama,Escambia County,36666
Alabama,Etowah County,103088
Alabama,Fayette County,16118
Alabama,Franklin County,31932
Alabama,Geneva County,26783
Alabama,Greene County,7422
Alabama,Hale County,14595
Alabama,Henry County,17655
Alabama,Houston County,108079
Alabama,Jackson County,52891
Alabama,Jefferson County,665409
Alabama,Lamar County,13705
Alabama,Lauderdale County,95878
Alabama,Lawrence County,33214
Alabama,Lee County,180773
Alabama,Limestone County,110900
Alabama,Lowndes County,9777
Alabama,Macon County,18516
Alabama,Madison County,403565
Alabama,Marengo County,18745
Alabama,Marion County,29156
Alabama,Marshall County,99423
Alabama,Mobile County,411411
Alabama,Monroe County,19404
Alabama,Montgomery County,226361
Alabama,Morgan County,124211
Alabama,Perry County,8035
Alabama,Pickens County,18697
Alabama,Pike County,33014
Alabama,Randolph County,22479
Alabama,Russell County,58555
Alabama,St. Clair County,93932
Alabama,Shelby County,230115
Alabama,Sumter County,11853
Alabama,Talladega County,80704
Alabama,Tallapoosa County,40977
Alabama,Tuscaloosa County,236780
Alabama,Walker County,64339
Alabama,Washington County,15122
Alabama,Wilcox County,10059
Alabama,Winston County,23755
Alaska,Alaska,733583
Alaska,Aleutians East Borough,3398
Alaska,Aleutians West Census Area,5122
Alaska,Anchorage Municipality,287145
Alaska,Bethel Census Area,18257
Alaska,Bristol Bay Borough,865
Alaska,Chugach Census Area,6874
Alaska,Copper River Census Area,2589
Alaska,Denali Borough,1585
Alaska,Dillingham Census Area,4723
Alaska,Fairbanks North Star Borough,95356
Alaska,Haines Borough,2056
Alaska,Hoonah-Angoon Census Area,2287
Alaska,Juneau City and Borough,31685
Alaska,Kenai Peninsula Borough,60690
Alaska,Ketchikan Gateway Borough,13741
Alaska,Kodiak Island Borough,12720
Alaska,Kusilvak Census Area,8278
Alaska,Lake and Peninsula Borough,1381
Alaska,Matanuska-Susitna Borough,113325
Alaska,Nome Census Area,9835
Alaska,North Slope Borough,10805
Alaska,Northwest Arctic Borough,7423
Alaska,Petersburg Borough,3360
Alaska,Prince of Wales-Hyder Census Area,5650
Alaska,Sitka City and Borough,8382
Alaska,Skagway Municipality,1081
Alaska,Southeast Fairbanks Census Area,7021
Alaska,Wrangell City and Borough,2070
Alaska,Yakutat City and Borough,700
Alaska,Yukon-Koyukuk Census Area,5179
Arizona,Arizona,7359197
Arizona,Apache County,65432
Arizona,Cochise County,125663
Arizona,Coconino County,144060
Arizona,Gila County,53922
Arizona,Graham County,38779
Arizona,Greenlee County,9302
Arizona,La Paz County,16506
Arizona,Maricopa County,4551524
Arizona,Mohave County,220816
Arizona,Navajo County,108650
Arizona,Pima County,1057597
Arizona,Pinal County,464154
Arizona,Santa Cruz County,48759
Arizona,Yavapai County,246191
Arizona,Yuma County,207842
Arkansas,Arkansas,3045637
Arkansas,Arkansas County,16512
Arkansas,Ashley County,18354
Arkansas,Baxter County,42435
Arkansas,Benton County,302863
Arkansas,Boone County,38284
Arkansas,Bradley County,10135
Arkansas,Calhoun County,4695
Arkansas,Carroll County,28742
Arkansas,Chicot County,9873
Arkansas,Clark County,21250
Arkansas,Clay County,14265
Arkansas,Cleburne County,25284
Arkansas,Cleveland County,7467
Arkansas,Columbia County,22216
Arkansas,Conway County,21046
Arkansas,Craighead County,113017
Arkansas,Crawford County,61075
Arkansas,Crittenden County,47061
Arkansas,Cross County,16601
Arkansas,Dallas County,6191
Arkansas,Desha County,10771
Arkansas,Drew County,16911
Arkansas,Faulkner County,127665
Arkansas,Franklin County,17271
Arkansas,Fulton County,12382
Arkansas,Garland County,100089
Arkansas,Grant County,18160
Arkansas,Greene County,46448
Arkansas,Hempstead County,19453
Arkansas,Hot Spring County,33203
Arkansas,Howard County,12557
Arkansas,Independence County,37945
Arkansas,Izard County,14048
Arkansas,Jackson County,16624
Arkansas,Jefferson County,64246
Arkansas,Johnson County,26001
Arkansas,Lafayette County,6101
Arkansas,Lawrence County,16205
Arkansas,Lee County,8364
Arkansas,Lincoln County,12916
Arkansas,Little River County,11821
Arkansas,Logan County,21253
Arkansas,Lonoke County,75225
Arkansas,Madison County,17486
Arkansas,Marion County,17254
Arkansas,Miller County,42552
Arkansas,Mississippi County,38896
Arkansas,Monroe County,6564
Arkansas,Montgomery County,8556
Arkansas,Nevada County,8181
Arkansas,Newton County,7078
Arkansas,Ouachita County,22049
Arkansas,Perry County,10063
Arkansas,Phillips County,15304
Arkansas,Pike County,10179
Arkansas,Poinsett County,22495
Arkansas,Polk County,19337
Arkansas,Pope County,64065
Arkansas,Prairie County,8069
Arkansas,Pulaski County,399145
Arkansas,Randolph County,18837
Arkansas,St. Francis County,22451
Arkansas,Saline County,127357
Arkansas,Scott County,9805
Arkansas,Searcy County,7918
Arkansas,Sebastian County,129059
Arkansas,Sevier County,15686
Arkansas,Sharp County,17810
Arkansas,Stone County,12575
Arkansas,Union County,37752
Arkansas,Van Buren County,16102
Arkansas,Washington County,256054
Arkansas,White County,77755
Arkansas,Woodruff County,6049
Arkansas,Yell County,20129
California,California,39029342
California,Alameda County,1628997
California,Alpine County,1190
California,Amador County,41412
California,Butte County,207303
California,Calaveras County,46563
California,Colusa County,21914
California,Contra Costa County,1156966
California,Del Norte County,27082
California,El Dorado County,192646
California,Fresno County,1015190
California,Glenn County,28339
California,Humboldt County,135010
California,Imperial County,178713
California,Inyo County,18718
California,Kern County,916108
California,Kings County,152981
California,Lake County,68191
California,Lassen County,29904
California,Los Angeles County,9721138
California,Madera County,160256
California,Marin County,256018
California,Mariposa County,17020
California,Mendocino County,89783
California,Merced County,290014
California,Modoc County,8511
California,Mono County,12978
California,Monterey County,432858
California,Napa County,134300
California,Nevada County,102293
California,Orange County,3151184
California,Placer County,417772
California,Plumas County,19351
California,Riverside County,2473902
California,Sacramento County,1584169
California,San Benito County,67579
California,San Bernardino County,2193656
California,San Diego County,3276208
California,San Francisco County,808437
California,San Joaquin County,793229
California,San Luis Obispo County,282013
California,San Mateo County,729181
California,Santa Barbara County,443837
California,Santa Clara County,1870945
California,Santa Cruz County,264370
California,Shasta County,180930
California,Sierra County,3217
California,Siskiyou County,43660
California,Solano County,448747
California,Sonoma County,482650
California,Stanislaus County,551275
California,Sutter County,98503
California,Tehama County,65245
California,Trinity County,15781
California,Tulare County,477544
California,Tuolumne County,54531
California,Ventura County,832605
California,Yolo County,222115
California,Yuba County,84310
Colorado,Colorado,5839926
Colorado,Adams County,527575
Colorado,Alamosa County,16592
Colorado,Arapahoe County,655808
Colorado,Archuleta County,14003
Colorado,Baca County,3432
Colorado,Bent County,5399
Colorado,Boulder County,327468
Colorado,Broomfield County,76121
Colorado,Chaffee County,20223
Colorado,Cheyenne County,1732
Colorado,Clear Creek County,9355
Colorado,Conejos County,7579
Colorado,Costilla County,3603
Colorado,Crowley County,5614
Colorado,Custer County,5335
Colorado,Delta County,31602
Colorado,Denver County,713252
Colorado,Dolores County,2455
Colorado,Douglas County,375988
Colorado,Eagle County,55285
Colorado,Elbert County,27799
Colorado,El Paso County,740567
Colorado,Fremont County,49621
Colorado,Garfield County,62271
Colorado,Gilpin County,5891
Colorado,Grand County,15769
Colorado,Gunnison County,17267
Colorado,Hinsdale County,775
Colorado,Huerfano County,7082
Colorado,Jackson County,1302
Colorado,Jefferson County,576143
Colorado,Kiowa County,1424
Colorado,Kit Carson County,6961
Colorado,Lake County,7327
Colorado,La Plata County,56607
Colorado,Larimer County,366778
Colorado,Las Animas County,14327
Colorado,Lincoln County,5510
Colorado,Logan County,20823
Colorado,Mesa County,158636
Colorado,Mineral County,931
Colorado,Moffat County,13177
Colorado,Montezuma County,26468
Colorado,Montrose County,43811
Colorado,Morgan County,29239
Colorado,Otero County,18303
Colorado,Ouray County,5100
Colorado,Park County,17939
Colorado,Phillips County,4449
Colorado,Pitkin County,16876
Colorado,Prowers County,11854
Colorado,Pueblo County,169544
Colorado,Rio Blanco County,6569
